                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7
                                           Royal Jelly        10334            0          171            0            0          292           30            0            1            0            0            0            1            1            0            0          387            0            0            0            0            0            0          279            0            0            0            0            0            0            0            0            0          124            0            0            0          223            0            0            0           19            0            0            0            0          605          369            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           25         2321            0         2335          755          596            0            0          300          300          300          300          300          300
                                     Santa Poring Card         7214            0          192            0            0            0            0            0            0            0            0            2            0           86            0          255          379            0            0            0            0            0            0          249            0            0            0            0            0            0            0            0            0            0            0            0            0          322            0            0            0           19            0            0            0            0         3883            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          851            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          975            0            0            0            0            0            0            0            0
                                                 Steel        37082            0          200            0            0            0          224            0            0            1            0            0            0          267          305            0          387            0            0            0            0            0            0          284            0            0            0            0            0            0            0            0            0           10            1         1704         2162         1875            0           25            0           97            0            0            0            0         4173            0         3311            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0         7185            0           55            0         1249            0         3232            0        10333            0            0            0            0            0            0            0            0
                                                 Tiara           38            0            7            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            2            4            3            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            1            0            0            0            0            0            5            0            1            2            2            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0
                                             Yoyo Doll         9238            0          195            0            0            0            0            0            0            1            0            0            0            0            0            0          379            0            0            0            0            0            0          262            0            0            0            0            0            0            0            0            0            0            0            0            0          210            0            0            0           23            0            0            0            0         3165            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2         3899            0         1102            0            0            0            0            0            0            0            0            0            0
                                           Animal Skin        13381            0            0            1            0            0            0            0            1          198            3            0            0            0            0            0           21            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1370            0            1            0            0            0            0            0            0            0            0            1            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         9063            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2714            0            0            0            0            0            0
                                          Emveretarcon        93460            0            0         3330            0            0         1457            0            0            0          100            0            0            0          264         2392          782            0            0            0            0            0            0          568            0            0            0            0            0            0            0            0            0            0            0            0            0           22        19997            0            0          658            0            0            0            0         4422         1179            0          178            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           98            0        10545          157            0            0         4516            0        30000            0        12610           87           98            0            0            0            0            0            0
                                      Immaterial Sword           14            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            1            2            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0
                                          Krasnaya [3]           16            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            2            0            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            1            2            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0
                                          Old Blue Box       141290            0            0         2498            0            0            0            0            0            1            0            0            0            1            8         2592        10846            0            0            0            0            0            0         7730            0            0            0            0            0            0            0            0            1            0            0           31          428            0        20016            0         8493           17            0            0            0            0          574        27655        17125         2343            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          164            0         3176            0           26            1         4660            0         9890        21601            0         1413            0            0            0            0            0            0            0
                                               Phracon        72660            0            0         4765            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           34            0            0            0            0            0            0            0            0         6427         1900        22531            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          273            0           36            0            0            0         6700            0        29994            0            0            0            0            0            0            0            0            0            0
                                         Phreeoni Card            1            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                                  Ruby        52586            0            0         4609            0          900            0            0            0            0            0            0            0         1307         1606          306            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         7621        10209         7938            0            0            0          369            0            0            0            0            0            0         1720            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          133            0            0            0            0            0            0        12085            0            0            1            0            0         3782            0            0            0            0            0            0            0            0            0            0
                +4 Saphien's Armor of Ocean [Marc] [1]            1            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                     Adventurer's Suit            2            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                                Amulet            2            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0
                                                 Apple          349            0            0            0            4            0            0            0            0            1            2            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          224            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          114            0            0            0            0            0            0
                                           Apple Juice          135            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           93            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           39            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0
                                   Armlet of Obedience          333            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          298            0           29            0            0            0            0            0            0            0            0            0            0
                                     Ashes of Darkness          290            0            0            0            7            0            0            0           11            0           71            0           25            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            4            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          137            0            0            0           12            3           14            0            0            0            0            0            0            0            0            0            0            0            0
                                         Assassin Mask            6            0            0            0            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                   Authoritative Badge        46336            0            0            0          485          428           49         1000            0            0         1000            0            0            0            0            0            0            3            0            1            7            5            7            2            0            0            0            0            0            0            0            0            0         3068            0            0            0            0            0            0            0            6         1000         1176            0         1034            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0        14400            0            0            0            0            0            0            0            0            0            0         1584            0          389         1537         1156         1361        10638            0            0            0            0            0            0         1000         1000         1000         1000         1000         1000
                                      Awakening Potion        15419            0            0            0          370          226          519          165            0            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          207            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          499            0            0           49          804          209        11559            0           32            0            0            0          773            0            0            0            0            0            0
                                               Axe [4]            1            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                                Banana         5752            0            0            0            3            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         5422            0            0            0            0            0          325            0            0            0            0            0            0            0            0            0            0            0            0
                                            Banana Hat            2            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                               Bandana            3            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                       Base Guitar [1]            1            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Battle Axe [4]            1            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                            Blade Whip            2            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3      zampow1     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7
                                          Blank Scroll        11813            0            0            0        11408            0            0            0            0          300            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          105            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Blue Gemstone        69873            0            0            0         1616            0          807            0            0         1351          100            0          426         1001            0            0         1171            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2279            0            0            0            0            0            0            0           22         1093            0        26715            0            0            0         1003           29            0           41            0           74            0            0            0            0            0            0            0            0            0            0            0         1780            0            0            0            0            0         2066            0            0            0            0         7174            0            4         7345            0           17        13698            0           29            0            0            0           32            0            0            0            0            0            0
                                           Blue Potion         9675            0            0            0            1            0            0            0            0            0           17            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1150            0            0            0            0            0            0          345            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         3148            0            0            0            0            0            0            0            0            0            0          591            0            0           68           21           22         2009            0         1249         1031            0            0            0            0            0            0           23            0            0
