                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack2    jacblack3  jakandjill1    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                       Crescent Scythe           11            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            2            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0
                                       Destroyed Armor         3968            0            0            0            0            0            0            0            0            2            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           12            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         3925            0            0            0            0            1            0            0            6           15            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                             Detonator          281            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          271            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Dokebi Horn        21546            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         4515            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0        15973            0            0            0            0            0            0            0            0         1047            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Dragon Canine          731            0            0            0            0            0            0            0            0           26            3            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          484            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          208            0            0            0            0            0            0            0            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Dragon Scale          831            0            0            0            0            0            0            0            0           37            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          230            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          557            0            0            0            0            0            0            0            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Dragon Skin           72            0            0            0            0            0            0            0            0            4            1            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           61            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Dragon Tail           18            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                              Dry Sand        53482            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0        21353            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0        28837            0            0            0            0            0            0         3291            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                                   Fin          586            0            0            0            0            0            0            0            0           12            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          568            0            0            0            0            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                              Fin Helm           12            0            0            0            0            0            0            0            0            1            0            1            0            2            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            1            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0
                                                Garlet           92            0            0            0            0            0            0            0            0           10            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0           79            0            0            0            0            0            0            0            0
                                           Golden Gear           30            0            0            0            0            0            0            0            0            7            0            0            0            3            0            4            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            6            2            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0
                                                 Grape        25939            0            0            0            0            0            0            0            0            3           30            0            0         1049         1041          320            0           20            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         6449         7844            0            0            1            0            0            0            1            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4         8756            0           23            0            0          395            0            0            0            0            0            0            0            0
                                           Greaves [1]           56            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1           11            0            4            7            4            1            0            4            5            0            0            0            0            0            0            0            0            0            4            0            0            7            5            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Green Bijou            9            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                              Hood [1]            5            0            0            0            0            0            0            0            0            1            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Insect Feeler          211            0            0            0            0            0            0            0            0           13            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           89            0            0            0            0            0            0            0            0            0            0            0            0            0            0          108            0            0            0            0            0            0            0            0
                                             Iron Cain           10            0            0            0            0            0            0            0            0            1            0            0            0            2            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            1            0            0
                                                  Lava         1069            0            0            0            0            0            0            0            0          594            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          474            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                       Lava Golem Card            1            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                     Level 3 Fire Bolt            7            0            0            0            0            0            0            0            0            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                             Live Coal         5248            0            0            0            0            0            0            0            0          131            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2934            0            0            0            0         2183            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Magma Fist [3]            4            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                           Mi Gao Card           28            0            0            0            0            0            0            0            0            9            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           16            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3   delusion12    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard2    jacblack2    jacblack3  jakandjill1    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7    rfpriest9     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16    sqmchnt17    sqmchnt18    sqmchnt19     sqmchnt1    sqmchnt20    sqmchnt21    sqmchnt22    sqmchnt23    sqmchnt24    sqmchnt25     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  squirrel100  squirrel200  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900      yothor1      yothor2      yothor3     zinjipo1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                                  Milk          643            0            0            0            0            0            0            0            0            1            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0           27            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           11            0           72            0            0          529            0            0            0            0            0            0            0            0            0            0            0            0            0
                                              Mud Lump        14634            0            0            0            0            0            0            0            0           43            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         7103            0            0            0            0            0            0            0            0            0            0            0            0            0            0         7485            0            0            0            0            0            0            0            0
                                          Necklace [1]            4            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                       Needle of Alarm         2073            0            0            0            0            0            0            0            0           95            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          949            0            0            0            0            0            0            0            0           28         1000            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Old Frying Pan           27            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           25            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Orange Potion           19            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           16            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Orcish Voucher          121            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           34            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           86            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Pauldron [1]           17            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            1            0            0            1            0            2            0            0            0            0            0            0            0            0            0            0            5            0            0            1            3            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0
