                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900   tropicalf1      yothor1      yothor2      yothor3      zampow1     zinjipo1      zipodi1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                              Harp [2]           18            0            0            0            0            0            0            0            0            0            0            0            0            1            0            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            1            0            5            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                               Hat [1]           19            0            0            0            0            0            0            0            0            0            0            0            0            3            0            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                          Joker Jester           14            0            0            0            0            0            0            0            0            0            0            0            0            1            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            2            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0
                                            Kitty Band            6            0            0            0            0            0            0            0            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                      Legacy of Dragon            7            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                      Level 5 Cookbook            5            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0
                                            Mantle [1]          412            0            0            0            0            0            0            0            0            0            0            0            0            2            0           17            1            0            0            0            0            0            0           45           12            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            1            0            0            0            0            0           57            0            1            0            0            0            0            0            0            0            0            0          106            0            0            0            0            0            0            0            0            0            0            0           57            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0          107            0            0            0            0            0            0            0            0            0            0            0            0
                                           Memory Book           13            0            0            0            0            0            0            0            0            0            0            0            0            2            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            1            0            0            0            1            0            0            0            0            1            0            0            1            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0
                                              Necklace           22            0            0            0            0            0            0            0            0            0            0            0            0            3            0            7            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            2            0            0            0            0            0            0            0            0            0
                                     Novice Shield [1]            3            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                      Padded Armor [1]           47            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           28            0            0            0            0            0            0            0            0            0
                                                Pilule          109            0            0            0            0            0            0            0            0            0            0            0            0            2            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           85            0            0           21            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Pirate Bandana            3            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                 Queen's Hair Ornament            1            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                    Ragamuffin Manteau            6            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        Roda Frog Card          522            0            0            0            0            0            0            0            0            0            0            0            0           27            0          234            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           21           24            0            0            1            0            1            0            0            0            0           33            0           15            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9            0            0            0            0            0            0            0            0            0            0            0           37            0            0            0            0            0            0            0            0          113            6            0            0            0            0            0            0            0            0            0            0
                                       Romantic Flower           16            0            0            0            0            0            0            0            0            0            0            0            0            5            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0
                                              Rope [4]            9            0            0            0            0            0            0            0            0            0            0            0            0            2            0            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0
                                              Sardonyx         9406            0            0            0            0            0            0            0            0            0            0            0            0         1418          140          215            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         1883         1716            0            0            1            0          282            0            0            0            0            3            0         1167            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           39            0            0            0            0            0            0            0            0            0            0            0            0           23            3            0            0         2516            0            0            0            0            0            0            0            0            0            0            0            0            0

                                                  ITEM        TOTAL        alen1        alen2        alen3    arkanoid1    arkanoid2    arkanoid3    arkanoid4    arkanoid5    arkanoid6    arkanoid7    arkanoid8    arkanoid9      darshm1      darshm2      darshm3    dfpriest1      fsage10      fsage11      fsage12      fsage13      fsage14      fsage15       fsage1       fsage2       fsage3       fsage4       fsage5       fsage6       fsage7       fsage8       fsage9     fwizard1     fwizard2     fwizard3    jacblack1    jacblack2    jacblack3  jakandjill1  jakandjill2  jakandjill3    luciazell   nethack100     nidbios1      nidhps1  nidstrings1      pharko1      pharko2      pharko3    rfpriest1    rfpriest2    rfpriest3    rfpriest4    rfpriest5    rfpriest6    rfpriest7     rfsage16     rfsage17     rfsage18    sqmchnt10    sqmchnt11    sqmchnt12    sqmchnt13    sqmchnt14    sqmchnt15    sqmchnt16     sqmchnt1     sqmchnt2     sqmchnt3     sqmchnt4     sqmchnt5     sqmchnt6     sqmchnt7     sqmchnt8     sqmchnt9  sqtreasure1  sqtreasure2  sqtreasure3  squirrel100  squirrel200  squirrel300  squirrel400  squirrel500  squirrel600  squirrel800  squirrel900   tropicalf1      yothor1      yothor2      yothor3      zampow1     zinjipo1      zipodi1   zzgdpally2   zzgdpally3   zzgdpally4   zzgdpally5   zzgdpally6   zzgdpally7   zzgdpally8   zzgdpally9
                                              Shackles           17            0            0            0            0            0            0            0            0            0            0            0            0            1            0            2            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            1            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            1            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0            0            0            0            0            0            0
                                                 Spawn        47808            0            0            0            0            0            0            0            0            0            0            0            0         7281            0        29936            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            2            0            0            0            0            0          494            0           13            0            1            0            0            0            0         4803            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2554            0            0            0            0            0            0            0            0            0         2724            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                               Stellar           11            0            0            0            0            0            0            0            0            0            0            0            0            1            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            2            0            4            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                  Super Novice Hat [1]            2            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                            Tablet [1]            9            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            4            0            0            0            0            0            0            0            0            0            0            0            1            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                                 Topaz        19595            0            0            0            0            0            0            0            0            0            0            0            0         1339          183          251            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2242         2005            0            0           21            0          294            0            0            0            0            0            0         1374            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          127            0            0            0            0            0            0            0            0            0         4293            0            0           25           21            0            0         7419            0            0            0            0            1            0            0            0            0            0            0            0            0
                                            Violin [4]            5            0            0            0            0            0            0            0            0            0            0            0            0            1            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0
                                         Western Grace           27            0            0            0            0            0            0            0            0            0            0            0            0            2            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            6            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            8            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0
                                            Wizard Hat           25            0            0            0            0            0            0            0            0            0            0            0            0            1            0            6            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            5            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            6            2            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0            0            0            0            0            0            0            0            0            0
                                             Wolf Card         3988            0            0            0            0            0            0            0            0            0            0            0            0           38           45          295          106            1            0            0            0            0            0           86            0            0            0            0            0            0            0            0            0            0            0           41           52           71            0            0           67            8            0            0           23          864         1614            1           28           36            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0          134            0            0            0            0            0            0            0            0            0            0            0           27            0            0            0            0            0            0            0            2          435           14            0            0            0            0            0            0            0            0            0            0
                                                Zircon        16453            0            0            0            0            0            0            0            0            0            0            0            0          193          194          265            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            1            0            0         2227         2070            0            0            1            0          298            0            0            0            0            0            0         1415            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0           62            0            0            0            0            0            0            0            0            0         6764            0            0            0            0            0            0         2962            0            0            0            0            1            0            0            0            0            0            0            0            0
                                          Zorro Masque           11            0            0            0            0            0            0            0            0            0            0            0            0            2            0            3            0            0            0            0            0            0            0            2            1            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            3            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0
                                        1carat Diamond        20091            0            0            0            0            0            0            0            0            0            0            0            0            0          197          251            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0         2180         2008            0            0            0            0          275            0            0            0            0            5            0         1336            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            9          249            0            0        13581            0            0            0            0            0            0            0            0            0            0            0            0            0
